setting,bias_refr,method,run_directory,recording_start_us,recording_stop_us,event_count,candidate_count,roi_count,localization_count,expected_bead_cycle_count,matched_bead_cycle_count,bead_cycle_recall_percent,duplicate_count,unassigned_count,peak_absolute_phase_error_median_us,peak_absolute_phase_error_p90_us,start_jitter_median_us,stop_jitter_median_us,duration_median_ms,duration_p10_ms,duration_p90_ms,duration_absolute_error_median_us,duration_absolute_error_p90_us,fit_yield_percent,processing_seconds,peak_rss_gib,events_per_roi_total_nonzero_roi_count,events_per_roi_total_mean,events_per_roi_total_std,events_per_roi_total_p10,events_per_roi_total_p25,events_per_roi_total_median,events_per_roi_total_p75,events_per_roi_total_p90,events_per_roi_positive_nonzero_roi_count,events_per_roi_positive_mean,events_per_roi_positive_std,events_per_roi_positive_p10,events_per_roi_positive_p25,events_per_roi_positive_median,events_per_roi_positive_p75,events_per_roi_positive_p90,events_per_roi_negative_nonzero_roi_count,events_per_roi_negative_mean,events_per_roi_negative_std,events_per_roi_negative_p10,events_per_roi_negative_p25,events_per_roi_negative_median,events_per_roi_negative_p75,events_per_roi_negative_p90
Default,0,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Default/recording_2026-07-24_10-18-39/20260727_172512_999624,0,60000000,13407884,24024,24024,23211,24000,23992,99.96666666666667,0,32,65.87425054609776,176.64970021843965,188.2439060434699,83.15187767148018,9.922,9.783,11.101,104.0,1101.0,96.61588411588411,492.1406733230001,7.810962677001953,24024,165.59411421911423,41.6160514455463,93.0,137.0,175.0,202.0,209.0,24024,115.08608058608058,22.828070335902357,79.0,99.0,119.0,134.0,141.0,24024,50.508033633033634,19.617432937427868,14.0,38.0,56.0,67.0,71.0
Maximum,-20,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Maximum/recording_2026-07-24_10-20-24/20260727_173346_448947,0,60000000,6806496,24063,24063,24014,24000,23992,99.96666666666667,1,70,72.0183571036905,202.01835710406303,127.81713542342186,99.70984494686127,9.905,9.733,10.522,134.0,543.0,99.79636786768067,344.1341225999997,5.283210754394531,24063,119.77147487844408,21.771256968446796,88.0,102.0,123.0,139.0,145.0,24062,75.8476083613847,10.754065577134938,61.0,69.0,76.0,84.0,89.0,24063,43.92386651705939,12.294571405094217,26.0,34.0,45.0,55.0,58.0
