setting,bias_refr,method,run_directory,boundary_definition,event_count_1_to_5_s,candidate_count,roi_count,localization_count,expected_bead_cycle_count,matched_bead_cycle_count,bead_cycle_recall_percent,duplicate_count,unassigned_count,marker_absolute_error_median_us,marker_absolute_error_p90_us,start_jitter_median_us,stop_jitter_median_us,duration_median_ms,duration_p10_ms,duration_p90_ms,duration_absolute_error_median_us,duration_absolute_error_p90_us,roi_event_count_median,fit_yield_percent,processing_seconds
Maximum,-20,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Maximum/recording_2026-07-24_10-20-24/20260727_001039_369522,legacy gated ROI first to last event,461242,1600,1600,1600,1600,1600,100.0,0,0,56.1007580475416,166.9193935617572,133.6425576978363,83.65834005083889,9.895,9.7189,10.6586,140.0,664.3000000000004,123.0,100.0,17.24295883099967
Maximum,-20,transition_train,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Maximum/recording_2026-07-24_10-20-24/20260727_001419_812125,first positive event to first negative event,461242,1600,1571,1571,1600,1571,98.1875,0,0,56.8992419524584,167.89924195222557,208.62551170680672,261.82142314501107,10.077,9.787,10.445,164.0,498.0,247.0,100.0,18.697938238999996
Default,0,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Default/recording_2026-07-24_10-18-39/20260727_001039_369522,legacy gated ROI first to last event,968273,1600,1600,1531,1600,1600,100.0,0,0,45.99604454729706,151.1031643621625,191.00000000011642,70.67526224022731,9.92,9.78,11.326600000000001,103.0,1372.2000000000003,175.0,95.6875,16.61528275799992
Default,0,transition_train,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Default/recording_2026-07-24_10-18-39/20260727_001346_641617,first positive event to first negative event,968273,1600,1568,1568,1600,1568,98.0,0,0,45.99604454729706,152.00395545270294,267.2850900636986,328.50000000023283,10.3445,10.044,10.754299999999999,349.0,754.3,367.0,100.0,18.280005096999957
Setting 127,127,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Setting_127/recording_2026-07-24_10-21-47/20260727_001039_369522,legacy gated ROI first to last event,3886777,1598,1598,1598,1600,1598,99.875,0,0,43.15428393520415,135.15428393520415,48.53372786520049,65.39648231281899,9.916,9.77,9.976,84.0,230.0,193.0,100.0,44.17411553599959
Setting 127,127,transition_train,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Setting_127/recording_2026-07-24_10-21-47/20260727_001636_433665,first positive event to first negative event,3886777,1598,1510,1510,1600,1510,94.375,0,0,43.84571606479585,135.2234271481634,142.99999999988358,245.49999999988358,10.343,10.078899999999999,10.912400000000002,343.0,912.4000000000005,389.5,100.0,45.67451888300002
Minimum,235,legacy,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Minimum/recording_2026-07-24_10-23-03/20260727_001039_369522,legacy gated ROI first to last event,13865974,1592,1592,1591,1600,1592,99.5,0,0,41.5,140.14905135296294,45.45540394005366,69.0,9.916,9.777000000000001,9.976,84.0,223.0,202.0,99.93718592964824,78.1343855719997
Minimum,235,transition_train,/media/angelina/data1/andrey/peakloc_data/2026_07_23_Dead_Time_Calibration/Minimum/recording_2026-07-24_10-23-03/20260727_001501_412816,first positive event to first negative event,13865974,1592,1444,1444,1600,1444,90.25,0,0,41.5,142.7509486465715,117.5,228.0,10.33,10.0736,10.811399999999999,330.0,811.4000000000001,413.0,100.0,79.4980809940007
